name,abbreviation,league
Kosovo,,FIFA Rankings
Armenia,,FIFA Rankings
Palestine,,FIFA Rankings
Trinidad and Tobago,,FIFA Rankings
Comoros,,FIFA Rankings
Tajikistan,,FIFA Rankings
Guatemala,,FIFA Rankings
Tanzania,,FIFA Rankings
Kyrgyz Republic,,FIFA Rankings
Kenya,,FIFA Rankings
Mauritania,,FIFA Rankings
Namibia,,FIFA Rankings
Kazakhstan,,FIFA Rankings
Vietnam,,FIFA Rankings
Lebanon,,FIFA Rankings
Sudan,,FIFA Rankings
Korea DPR,,FIFA Rankings
Madagascar,,FIFA Rankings
Azerbaijan,,FIFA Rankings
Libya,,FIFA Rankings
Togo,,FIFA Rankings
Zimbabwe,,FIFA Rankings
Guinea-Bissau,,FIFA Rankings
Niger,,FIFA Rankings
Estonia,,FIFA Rankings
Congo,,FIFA Rankings
The Gambia,,FIFA Rankings
Malawi,,FIFA Rankings
Rwanda,,FIFA Rankings
India,,FIFA Rankings
Sierra Leone,,FIFA Rankings
Cyprus,,FIFA Rankings
Indonesia,,FIFA Rankings
Malaysia,,FIFA Rankings
Kuwait,,FIFA Rankings
Nicaragua,,FIFA Rankings
Central African Republic,,FIFA Rankings
Botswana,,FIFA Rankings
Faroe Islands,,FIFA Rankings
Suriname,,FIFA Rankings
Latvia,,FIFA Rankings
Burundi,,FIFA Rankings
Dominican Republic,,FIFA Rankings
Lithuania,,FIFA Rankings
Turkmenistan,,FIFA Rankings
St Kitts and Nevis,,FIFA Rankings
Liberia,,FIFA Rankings
Ethiopia,,FIFA Rankings
Philippines,,FIFA Rankings
Fiji,,FIFA Rankings
Lesotho,,FIFA Rankings
Moldova,,FIFA Rankings
Solomon Islands,,FIFA Rankings
New Caledonia,,FIFA Rankings
Tahiti,,FIFA Rankings
Guyana,,FIFA Rankings
"Hong Kong, China",,FIFA Rankings
Afghanistan,,FIFA Rankings
Puerto Rico,,FIFA Rankings
Yemen,,FIFA Rankings
Eswatini,,FIFA Rankings
Antigua and Barbuda,,FIFA Rankings
Singapore,,FIFA Rankings
Maldives,,FIFA Rankings
Cuba,,FIFA Rankings
Vanuatu,,FIFA Rankings
Chinese Taipei,,FIFA Rankings
Bermuda,,FIFA Rankings
St Lucia,,FIFA Rankings
Malta,,FIFA Rankings
Myanmar,,FIFA Rankings
South Sudan,,FIFA Rankings
Andorra,,FIFA Rankings
Papua New Guinea,,FIFA Rankings
St Vincent and the Grenadines,,FIFA Rankings
Grenada,,FIFA Rankings
Nepal,,FIFA Rankings
Chad,,FIFA Rankings
Barbados,,FIFA Rankings
Belize,,FIFA Rankings
Mauritius,,FIFA Rankings
Cambodia,,FIFA Rankings
Montserrat,,FIFA Rankings
Bhutan,,FIFA Rankings
Dominica,,FIFA Rankings
Brunei Darussalam,,FIFA Rankings
Bangladesh,,FIFA Rankings
Laos,,FIFA Rankings
American Samoa,,FIFA Rankings
Mongolia,,FIFA Rankings
São Tomé and Príncipe,,FIFA Rankings
Cook Islands,,FIFA Rankings
Djibouti,,FIFA Rankings
Samoa,,FIFA Rankings
Macau,,FIFA Rankings
Cayman Islands,,FIFA Rankings
Aruba,,FIFA Rankings
Gibraltar,,FIFA Rankings
Timor-Leste,,FIFA Rankings
Pakistan,,FIFA Rankings
Tonga,,FIFA Rankings
Sri Lanka,,FIFA Rankings
Seychelles,,FIFA Rankings
Somalia,,FIFA Rankings
Guam,,FIFA Rankings
Liechtenstein,,FIFA Rankings
Bahamas,,FIFA Rankings
Turks and Caicos Islands,,FIFA Rankings
British Virgin Islands,,FIFA Rankings
US Virgin Islands,,FIFA Rankings
Anguilla,,FIFA Rankings
San Marino,,FIFA Rankings
New Zealand,,FIFA Rankings
